author,gender,pseudonym,title,subtitle,year_begin,source,sep_edition,city,genre,characters,narration,main_genre,general_genre,POS_title,title_length,canon_status
"Эмин, Федор Александрович",мужской,0,"Награждённая постоянность, или Приключения Лизарка и Сарманды",Сочинения Федора Эмина,1763,Отд. изд.,1,Санкт-Петербург,любовный,дворяне,3 лицо,любовный,любовный,PRTF NOUN CONJ NOUN NOUN CONJ NOUN,7,0
"Эмин, Федор Александрович",мужской,0,"Непостоянная фортуна, или Похождения Мирамонда",,1763,Отд. изд.,1,Санкт-Петербург,авантюрный,дворяне,3 лицо,авантюрный,приключенческий,ADJF NOUN CONJ NOUN NOUN,5,0
"Эмин, Федор Александрович",мужской,0,"Приключения Фемистокла и разные политические, гражданские, философические, физические и военные его с сыном своим разговоры, постоянная жизнь и жестокость фортуны, его гонящей",,1763,Отд. изд.,1,Санкт-Петербург,исторический,легендарные исторические фигуры,3 лицо,исторический,исторический,NOUN VERB CONJ ADJF ADJF ADJF ADJF ADJF CONJ NOUN NPRO PREP NOUN ADJF NOUN ADJF NOUN CONJ NOUN NOUN NPRO PRTF,22,0
"Чулков, Михаил Дмитриевич",мужской,0,"Пересмешник, или Славенские сказки",,1766,Отд. изд.,1,Санкт-Петербург,,духовенство,3 лицо,,,NOUN CONJ ADJF NOUN,4,0
"Эмин, Федор Александрович",мужской,0,Письма Эрнеста и Доравры,,1766,Отд. изд.,1,Санкт-Петербург,"философский, любовный",дворяне,в письмах,философский,философский,NOUN NOUN CONJ NOUN,4,0
"Херасков, Михаил Матвеевич",мужской,0,"Нума, или процветающий Рим",,1768,Отд. изд.,1,Москва,философский,"легендарные исторические фигуры, аристократия прошлого",3 лицо,философский,философский,NOUN CONJ PRTF NOUN,4,0
"Чулков, Михаил Дмитриевич",мужской,0,"Пригожая повариха, или Похождение развратной женщины",,1770,Отд. изд.,1,Санкт-Петербург,"любовный, авантюрный","дворяне, помещики",1 лицо,любовный,любовный,ADJF NOUN CONJ NOUN ADJF NOUN,6,0
"Попов, Михаил Иванович",мужской,0,"Славянские древности, или Приключения славянских князей",,1770,Отд. изд.,1,Санкт-Петербург,"псевдоисторический, волшебная сказка, галантный роман, рыцарский роман",Князья,3 лицо,исторический,исторический,ADJF NOUN CONJ NOUN ADJF NOUN,6,0
"Игнатьев, Семен Егорович",мужской,0,Похождение новомодной красавицы Гуланданы и храброго принца Барама,"Сочиненное Диларгетом, секретарем тифлисским, а переведено с грузинского языка московского университета информатором Семеном Игнатьевым",1773,Отд. изд.,1,Санкт-Петербург,"фантастический, авантюрный, любовный","Принцы, принцессы, короли, королевы и другие представители придворной знати",3 лицо,фантастический,фантастический,NOUN ADJF NOUN PRTS CONJ ADJF NOUN NOUN,8,0
"Назарьев, Александр Петрович",мужской,0,"Несчастный Никанор, или Приключение жизни российского дворянина Н********",,1775,Отд. изд.,1,Санкт-Петербург,,дворяне,3 лицо,,,ADJF NOUN CONJ NOUN NOUN ADJF NOUN ADJF,8,0
